measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30
pos_error_l2,sequential_t_test,none,0.3086349441330877,0.4964551808586958,0.030863494413308767,0.04964551808586956,0.7054749961643823,0.07054749961643823,0.49187201166255445,0.04918720116625545,0.4116324262217269,0.04116324262217269,0.3086349441330877,0.030863494413308767
pos_error_l2,sim2real,Sim_10080,0.181875,0.38278125,0.018187500000000002,0.038278125,0.5790624999999999,0.05790624999999999,0.365,0.0365,0.239375,0.0239375,0.181875,0.018187500000000002
pos_error_l2,sim2real,Sim_252,0.18062499999999998,0.3851354166666666,0.0180625,0.038513541666666665,0.5703125,0.057031250000000006,0.37562500000000004,0.037562500000000006,0.24,0.024,0.18062499999999998,0.0180625
pos_error_l2,sim2real,Sim_35,0.22000000000000003,0.404,0.022000000000000006,0.040400000000000005,0.58,0.057999999999999996,0.38,0.038000000000000006,0.26,0.026000000000000002,0.22000000000000003,0.022000000000000006
pos_error_l2,sim2real,Sim_756,0.19,0.39526041666666667,0.019000000000000003,0.039526041666666664,0.5778124999999998,0.057781249999999985,0.39749999999999996,0.03975,0.25,0.025,0.19,0.019000000000000003
pos_error_l2,sim2real,Sim_7_biased,0.24,0.40266666666666673,0.024,0.04026666666666667,0.5599999999999999,0.055999999999999994,0.38,0.038000000000000006,0.26,0.026000000000000002,0.24,0.024
pos_error_l2,t_test,none,0.13346428258202211,0.24948604666749147,0.013346428258202212,0.024948604666749155,0.3739140853371504,0.037391408533715045,0.2291194891504847,0.02291194891504847,0.17875380339326397,0.017875380339326397,0.13346428258202211,0.013346428258202212
pos_error_l2,vincent,gap_0.05,0.3773173255093121,0.5587748157842654,0.03773173255093121,0.055877481578426536,0.7409337443620935,0.07409337443620935,0.5979997627291426,0.05979997627291426,0.4460806387319307,0.04460806387319308,0.3773173255093121,0.03773173255093121
pos_error_l2,vincent,gap_0.1,0.43240227782981633,0.606355911219761,0.04324022778298164,0.060635591121976105,0.7838211263827185,0.07838211263827186,0.647902421114622,0.06479024211146221,0.5005469415225806,0.050054694152258064,0.43240227782981633,0.04324022778298164
pos_error_l2,vincent,gap_0.2,0.5369815991700111,0.6971175016513894,0.05369815991700111,0.06971175016513896,0.8683138498014638,0.08683138498014638,0.7429422666625795,0.07429422666625794,0.6029418252950682,0.06029418252950683,0.5369815991700111,0.05369815991700111
pos_error_l2,z_test,none,0.12790015443471991,0.19936491577799653,0.012790015443471992,0.019936491577799653,0.26395556649078467,0.02639555664907847,0.19851226709069375,0.019851226709069376,0.16738986635746134,0.016738986635746134,0.12790015443471991,0.012790015443471992
