t,err_vx,err_vy,err_lin,err_yaw
3.319861,0.034352,-0.068536,0.076663,1.177367
3.339880,-0.044431,-0.133229,0.140442,0.272781
3.360166,-0.075681,-0.135415,0.155128,0.256727
3.379974,-0.036445,-0.123637,0.128897,0.180778
3.399951,-0.019643,-0.083726,0.085999,-0.129334
3.419898,0.024809,-0.061605,0.066413,0.048350
3.439967,0.054093,-0.082151,0.098361,-0.099973
3.459874,0.074821,-0.079753,0.109356,-0.080892
3.480004,0.091766,-0.064929,0.112413,-0.174108
3.500377,0.120307,-0.035634,0.125473,-0.082376
3.519929,0.091397,-0.098755,0.134558,-0.890213
3.540107,0.132140,-0.057609,0.144152,-0.600598
3.560072,0.192435,-0.008750,0.192634,-0.163115
3.580023,0.225259,0.043445,0.229410,-0.308226
3.600104,0.240604,0.025911,0.241995,-0.197864
3.620068,0.279559,0.068866,0.287916,-0.324366
3.640110,0.304624,0.080436,0.315065,-0.298607
3.660052,0.263872,0.042058,0.267203,-0.180186
3.680028,0.230738,0.031961,0.232941,-0.078710
3.700175,0.205116,0.016312,0.205764,-0.127803
3.720005,0.229855,0.020805,0.230795,0.818960
3.739947,0.156631,-0.042367,0.162260,-0.009639
3.760141,0.090905,-0.098831,0.134281,-0.571486
3.779962,0.096551,-0.054791,0.111014,-0.138090
3.799916,0.077867,-0.085768,0.115842,-0.141321
3.819935,0.066083,-0.109100,0.127553,-0.197676
3.839976,0.047698,-0.117519,0.126830,-0.202813
3.859899,0.024908,-0.111773,0.114515,-0.274073
3.879980,0.010354,-0.134649,0.135047,-0.241645
3.899968,-0.017177,-0.137217,0.138288,-0.187075
3.920063,-0.033934,-0.142571,0.146554,-0.123276
3.940053,-0.063582,-0.140558,0.154270,-0.028662
3.959963,-0.087709,-0.141217,0.166238,-0.004806
3.980215,-0.088831,-0.150584,0.174833,-0.032989
4.000136,-0.079483,-0.150960,0.170606,-0.098861
4.019965,-0.061346,-0.118671,0.133589,-0.126457
4.039777,-0.035567,-0.123762,0.128771,-0.108752
4.059978,-0.009097,-0.128419,0.128741,-0.074768
4.080000,0.022577,-0.133541,0.135436,-0.204795
4.100339,0.042983,-0.143238,0.149548,-0.302690
4.120206,0.074353,-0.145738,0.163609,-0.325697
4.139870,0.095662,-0.144912,0.173640,-0.351397
4.159957,0.148587,-0.115684,0.188311,-0.283196
4.179930,0.204579,-0.088032,0.222716,-0.004971
4.200108,0.219804,-0.116959,0.248984,-0.318003
4.219854,0.230056,-0.102363,0.251801,-0.580408
4.239992,0.275711,-0.077980,0.286527,-0.561717
4.260043,0.282702,-0.091562,0.297160,-0.496190
4.280133,0.302955,-0.078520,0.312965,-0.427491
4.300169,0.254250,-0.065548,0.262564,-0.254191
4.319955,0.197179,-0.099646,0.220927,-0.357246
4.340067,0.163260,-0.119712,0.202447,-0.447807
4.359947,0.144929,-0.127476,0.193014,-0.405108
4.379945,0.119794,-0.124790,0.172983,-0.335482
4.400027,0.092894,-0.145425,0.172562,-0.276203
4.419868,0.069172,-0.149584,0.164803,-0.204794
4.439874,0.040061,-0.153127,0.158281,-0.072536
4.459872,0.012868,-0.166838,0.167334,-0.034080
4.479991,-0.004626,-0.182783,0.182842,-0.005728
4.500146,-0.029546,-0.193035,0.195283,0.065694
4.519916,-0.073432,-0.210394,0.222841,-0.086016
4.539967,-0.138579,-0.232188,0.270399,-0.646379
4.560064,-0.096284,-0.219873,0.240031,0.149628
4.580145,-0.102550,-0.213396,0.236758,0.174070
4.599976,-0.069945,-0.206502,0.218026,0.084198
4.620031,-0.021339,-0.154846,0.156309,0.677119
4.640067,-0.004991,-0.175656,0.175727,0.297423
4.659920,0.011443,-0.180553,0.180915,-0.097830
4.680077,0.045322,-0.177361,0.183060,-0.039297
4.700178,0.067273,-0.153223,0.167341,0.063323
4.719882,0.092805,-0.143333,0.170755,-0.017990
4.739932,0.103049,-0.122036,0.159724,-0.086355
4.760173,0.127067,-0.119938,0.174732,-0.176180
4.780195,0.147658,-0.090479,0.173174,-0.212831
4.800155,0.161712,-0.077332,0.179251,-0.217607
4.819869,0.182505,-0.062364,0.192866,-0.278096
4.839939,0.196370,-0.045632,0.201602,-0.316318
4.859883,0.221546,-0.008159,0.221696,-0.337980
4.880085,0.226299,-0.023296,0.227495,-0.382195
4.900004,0.211802,-0.005247,0.211867,-0.318754
4.920153,0.172498,-0.001822,0.172508,-0.319631
4.940152,0.153092,-0.060287,0.164535,-0.304508
4.959845,0.138573,-0.072198,0.156253,-0.346979
4.980142,0.109532,-0.086818,0.139766,-0.422487
5.000444,0.085651,-0.113893,0.142505,-0.313317
5.019920,0.076605,-0.137550,0.157443,-0.255384
5.039981,0.064251,-0.152705,0.165671,-0.175048
5.059868,0.028039,-0.179604,0.181779,-0.094338
5.080019,0.021684,-0.209593,0.210712,-0.067151
5.100127,0.004410,-0.232532,0.232574,0.036517
5.120189,-0.033405,-0.258761,0.260908,0.062808
5.139984,-0.039114,-0.278663,0.281395,0.094633
5.159877,-0.054644,-0.299308,0.304255,0.202362
5.180164,-0.061206,-0.314894,0.320787,0.166247
5.200004,-0.075819,-0.315830,0.324803,0.159922
5.220133,-0.065276,-0.278532,0.286079,0.058496
5.240070,-0.016694,-0.246240,0.246805,0.026248
5.259853,0.015774,-0.222056,0.222616,-0.002055
5.280067,0.043641,-0.196120,0.200917,0.007582
5.299998,0.054929,-0.177339,0.185651,0.186167
5.320125,0.071243,-0.138626,0.155861,0.115714
5.340194,0.091105,-0.118444,0.149429,-0.035809
5.360066,0.108535,-0.094399,0.143844,-0.085847
5.380003,0.112324,-0.064266,0.129409,-0.078553
5.400020,0.135000,-0.045841,0.142571,-0.193590
5.419864,0.150440,-0.034967,0.154450,-0.270360
5.439824,0.153047,0.001231,0.153052,-0.258402
5.459728,0.162145,0.045365,0.168372,-0.277698
5.479771,0.169769,0.079503,0.187463,-0.331333
5.499910,0.160220,0.055132,0.169440,-0.349412
5.519821,0.128632,0.031469,0.132425,-0.268538
5.539746,0.110337,0.002359,0.110362,-0.253247
5.559720,0.106840,-0.028184,0.110495,-0.274371
5.579854,0.088513,-0.050673,0.101992,-0.284056
5.599864,0.075516,-0.076150,0.107245,-0.311516
5.619729,0.071707,-0.112018,0.133003,-0.308221
5.639742,0.056578,-0.132391,0.143974,-0.089693
5.659710,0.051988,-0.160062,0.168293,0.092231
5.679916,0.044043,-0.181283,0.186556,0.051761
5.699772,0.025244,-0.216307,0.217775,-0.014828
5.719920,0.003621,-0.235529,0.235557,0.236579
5.739792,-0.001289,-0.257570,0.257573,0.075867
5.760048,-0.011678,-0.275029,0.275277,0.209560
5.779955,-0.011144,-0.297501,0.297710,0.121123
5.800031,-0.022231,-0.274637,0.275535,0.141387
5.820006,-0.010354,-0.266412,0.266613,-0.302677
5.840084,0.013133,-0.216793,0.217190,-0.092623
5.860051,0.068228,-0.170841,0.183961,0.003930
5.879951,0.059169,-0.215031,0.223023,-0.771871
5.900456,0.110914,-0.089698,0.142645,0.520239
5.919963,0.055084,-0.107060,0.120400,-0.195238
5.939814,0.140953,-0.028781,0.143861,0.440918
5.959886,0.136352,-0.020052,0.137819,0.217401
5.979747,0.110727,-0.023105,0.113112,-0.350287
6.000051,0.117582,-0.004168,0.117656,-0.373237
6.019848,0.110066,0.047885,0.120031,-0.313498
6.039760,0.128519,0.067895,0.145351,-0.330432
6.059902,0.137127,0.101843,0.170809,-0.302433
6.079698,0.125349,0.097162,0.158596,-0.288401
6.099925,0.105468,0.065045,0.123913,-0.176383
6.120009,0.098252,0.028964,0.102432,-0.128410
6.139852,0.115020,0.008646,0.115345,-0.054549
6.160062,0.073329,-0.072969,0.103449,-0.649062
6.179736,0.066016,-0.095323,0.115951,-0.527716
6.199834,0.089956,-0.069508,0.113681,0.068386
6.219920,0.095542,-0.121539,0.154596,-0.075345
6.239899,0.072403,-0.155954,0.171941,0.017340
6.259724,0.088258,-0.178753,0.199354,0.068276
6.279730,0.071380,-0.205106,0.217172,0.227062
6.299784,0.086883,-0.228882,0.244818,0.254161
6.319821,0.057825,-0.274524,0.280548,0.249573
6.339720,0.066676,-0.282276,0.290044,0.222073
6.359751,0.065594,-0.295064,0.302267,0.131486
6.379827,0.057873,-0.272912,0.278981,-0.102847
6.399692,0.049610,-0.245599,0.250559,-0.025319
6.420238,0.063346,-0.160095,0.172172,-0.097407
6.440268,0.074628,-0.139691,0.158376,-0.079793
6.459718,0.115371,-0.140963,0.182157,-0.060471
6.479718,0.085755,-0.117004,0.145065,0.116178
6.499906,0.128524,-0.072625,0.147624,-0.028014
6.519778,0.111587,-0.045396,0.120468,-0.042398
6.539717,0.087578,-0.020207,0.089879,-0.080406
6.559747,0.097328,0.009665,0.097807,-0.190527
6.579906,0.102529,0.031320,0.107206,-0.266278
6.600052,0.096049,0.061218,0.113899,-0.321686
6.620096,0.087118,0.092936,0.127384,-0.325103
6.639868,0.080058,0.119597,0.143919,-0.317971
6.659940,0.052923,0.125923,0.136592,-0.368188
6.679944,0.053195,0.084560,0.099900,-0.188875
6.700105,0.041241,0.067415,0.079029,0.132109
6.719731,0.083379,0.008089,0.083770,-0.301991
6.739780,0.089011,-0.014183,0.090134,-0.320411
6.759727,0.100451,-0.031347,0.105229,-0.266166
6.779918,0.110186,-0.083959,0.138528,-0.318211
6.799794,0.118866,-0.115100,0.165460,-0.293570
6.819760,0.119138,-0.122469,0.170858,0.030655
6.839718,0.106214,-0.153021,0.186271,0.172084
6.859707,0.125464,-0.172950,0.213665,0.120680
6.879989,0.130867,-0.198344,0.237627,0.153253
6.899999,0.123187,-0.248418,0.277284,0.246767
6.919718,0.133477,-0.229992,0.265918,0.490868
6.939723,0.129506,-0.309004,0.335045,0.306203
6.959827,0.115778,-0.331527,0.351162,-0.555613
6.979911,0.130891,-0.233893,0.268027,-0.000396
7.000096,0.123466,-0.212184,0.245491,-0.060327
7.020007,0.128232,-0.175100,0.217033,-0.119467
7.039741,0.118870,-0.140438,0.183992,-0.001717
7.059822,0.127564,-0.098974,0.161457,0.025434
7.079839,0.120365,-0.069464,0.138971,0.005713
7.099773,0.115675,-0.039606,0.122267,-0.103730
7.119709,0.087602,-0.021649,0.090237,-0.145241
7.139724,0.072664,0.006519,0.072956,-0.140704
7.159725,0.084655,0.033378,0.090998,-0.274336
7.179716,0.063279,0.055805,0.084371,-0.273059
7.199874,0.053480,0.081747,0.097687,-0.298885
7.219782,0.012508,0.106778,0.107508,-0.318206
7.239887,0.034417,0.125212,0.129856,-0.341686
7.259749,0.005898,0.132847,0.132978,-0.315750
7.279700,-0.014526,0.091322,0.092470,-0.230818
7.300294,0.016684,0.051924,0.054539,-0.210953
7.319793,0.042393,0.032989,0.053716,-0.271539
7.339714,0.048923,0.013043,0.050632,-0.272847
7.359731,0.054593,-0.022478,0.059039,-0.292555
7.379956,0.075218,-0.044065,0.087175,-0.265044
7.399811,0.103122,-0.057605,0.118121,-0.182264
7.419709,0.107774,-0.090931,0.141010,-0.058977
7.439879,0.145824,-0.104070,0.179151,0.069284
7.459748,0.145197,-0.124343,0.191163,0.088805
7.480003,0.161336,-0.143902,0.216188,0.156607
7.499934,0.167927,-0.183184,0.248507,0.336960
7.519865,0.185595,-0.207486,0.278381,0.145113
7.539743,0.190790,-0.231722,0.300160,0.139198
7.559779,0.201013,-0.242132,0.314697,0.119440
7.579868,0.184489,-0.202959,0.274278,-0.026365
7.600018,0.173781,-0.155019,0.232875,-0.170760
7.619867,0.149847,-0.157600,0.217467,-0.115201
7.639716,0.145394,-0.116638,0.186397,-0.124440
7.659717,0.122996,-0.090793,0.152877,-0.059902
7.679925,0.117227,-0.052965,0.128637,-0.039362
7.699898,0.103247,-0.030006,0.107519,-0.078631
7.719844,0.065479,-0.021802,0.069013,-0.161055
7.739927,0.060331,0.003774,0.060449,-0.309890
7.759928,0.050006,0.029631,0.058126,-0.181087
7.779937,0.007004,0.041744,0.042328,-0.159433
7.799921,-0.013718,0.059863,0.061415,-0.208707
7.819805,-0.003588,0.086004,0.086079,-0.247338
7.839720,-0.046287,0.109039,0.118457,-0.302472
7.859845,-0.040908,0.120242,0.127010,-0.423517
7.879757,-0.046159,0.075135,0.088181,-0.393497
7.899983,-0.041368,0.033515,0.053241,-0.215160
7.920173,0.000899,0.035699,0.035710,-0.272229
7.940086,0.031486,0.024415,0.039843,-0.456377
7.959914,0.022639,-0.021437,0.031178,-0.333068
7.980230,0.076596,-0.019820,0.079119,-0.424564
8.000030,0.088694,-0.032872,0.094590,-0.356154
8.020035,0.114217,-0.051904,0.125457,-0.140977
8.039896,0.130207,-0.091011,0.158861,-0.122055
8.059753,0.157173,-0.096018,0.184181,0.145844
8.079985,0.169935,-0.115238,0.205323,0.153808
8.100065,0.190762,-0.132693,0.232374,0.111596
8.119866,0.204236,-0.152898,0.255128,0.188213
8.139797,0.225919,-0.202314,0.303266,0.205776
8.159728,0.244779,-0.188694,0.309067,0.149029
8.179945,0.216389,-0.186181,0.285460,0.101655
8.200273,0.185148,-0.153712,0.240639,-0.108357
8.219991,0.168697,-0.098597,0.195397,-0.111529
8.239960,0.153568,-0.093977,0.180041,-0.172150
8.259866,0.127522,-0.051267,0.137441,-0.110034
8.280104,0.100333,-0.031896,0.105281,0.005250
8.300258,0.065696,-0.019281,0.068467,-0.230501
8.319745,0.037030,0.047804,0.060469,-0.073306
8.339752,0.023077,0.017635,0.029044,-0.119360
8.359887,-0.025617,0.009971,0.027489,-0.228039
8.379823,-0.039108,0.018516,0.043270,-0.304388
8.400164,-0.035801,0.044043,0.056758,-0.361415
8.420092,-0.107463,0.040290,0.114768,-0.487560
8.439941,-0.111752,0.062900,0.128238,-0.500411
8.460000,-0.100765,0.062232,0.118433,-0.364508
8.479996,-0.091773,0.005730,0.091952,-0.216724
8.499748,-0.038574,0.002795,0.038675,-0.216452
8.519935,-0.031074,-0.006738,0.031796,-0.195153
8.540075,0.001043,-0.016528,0.016561,-0.220987
8.559968,0.034084,-0.009886,0.035489,-0.212522
