measure,method,bank,final_width_norm,mean_width_norm,final_width_original,mean_width_original,width_norm_5,width_original_5,width_norm_10,width_original_10,width_norm_20,width_original_20,width_norm_30,width_original_30,width_norm_100,width_original_100,width_norm_300,width_original_300,width_norm_900,width_original_900
err_lin,sim2real,Sim_7_biased,0.06,0.11183315038419325,0.027,0.05032491767288696,0.48,0.216,0.3,0.135,0.27999999999999997,0.126,0.28,0.12600000000000003,0.15999999999999998,0.072,0.12,0.054,0.06,0.027
err_lin,t_test,none,0.02288142380566216,0.043887331495115575,0.010296640712547973,0.01974929917280201,0.014602777138197173,0.0065712497121887285,0.05139158442830069,0.02312621299273531,0.20750301202500993,0.09337635541125447,0.18256013531080018,0.08215206088986009,0.07957727251970392,0.03580977263386677,0.036297712348793976,0.01633397055695729,0.023065269873549954,0.010379371443097479
err_lin,vincent,gap_0.05,0.15258650076737645,0.20878371214025082,0.06866392534531941,0.09395267046311288,0.7774693000620896,0.34986118502794034,0.6441546913589702,0.2898696111115366,0.49559629468520894,0.22301833260834403,0.4298967695078464,0.19345354627853087,0.2800725435705117,0.12603264460673028,0.19812832528735336,0.08915774637930901,0.15263917073608313,0.06868762683123741
err_lin,vincent,gap_0.1,0.2241677149544492,0.27736888272303944,0.10087547172950215,0.12481599722536775,0.8181268439495766,0.3681570797773095,0.6941282724147876,0.3123577225866544,0.5515673551330965,0.24820530980989344,0.48753062890000354,0.2193887830050016,0.3462721571966999,0.15582247073851496,0.26686782151412314,0.12009051968135541,0.22416931894831993,0.10087619352674397
err_lin,vincent,gap_0.2,0.3578174678108301,0.40492738935186373,0.16101786051487357,0.18221732520833867,0.8973775522479785,0.40381989851159034,0.7895127438849884,0.3552807347482448,0.6569024915974411,0.2956061212188485,0.5971393734138914,0.2687127180362512,0.4676358006053267,0.21043611027239703,0.39389304966487937,0.17725187234919573,0.3577748300024174,0.16099867350108782
err_lin,vincent,gap_0.3,0.4777848184533827,0.5198472498440135,0.21500316830402222,0.23393126242980614,0.9506495759918328,0.42779230919632477,0.8722661483893408,0.3925197667752034,0.7507815394320712,0.33785169274443205,0.6973626982598281,0.31381321421692265,0.5780988960982405,0.26014450324420824,0.5090111827904161,0.22905503225568727,0.4777083016687067,0.21496873575091802
err_lin,z_test,none,0.06493650382298966,0.12001436759402712,0.029221426720345344,0.0540064654173122,0.44477504806606855,0.20014877162973085,0.3411159605967252,0.15350218226852635,0.42653896847747874,0.19194253581486545,0.3578388287434314,0.16102747293454414,0.1959963984540054,0.08819837930430244,0.11315857340761715,0.05092135803342772,0.06533213281800176,0.029399459768100794
err_yaw,e_value_constant_0.25,none,0.06,0.1636004390779364,0.252,0.6871218441273326,1.0,4.2,1.0,4.2,1.0,4.2,1.0,4.2,0.32,1.344,0.12000000000000005,0.5040000000000002,0.06,0.252
err_yaw,e_value_constant_0.5,none,0.03999999999999998,0.10917672886937434,0.16799999999999993,0.45854226125137215,1.0,4.2,1.0,4.2,0.8200000000000001,3.4440000000000004,0.54,2.2680000000000002,0.17999999999999994,0.7559999999999998,0.06,0.252,0.03999999999999998,0.16799999999999993
err_yaw,e_value_wsr,none,1.0,0.1608781558726674,4.2,0.6756882546652031,1.0,4.2,0.32,1.344,0.17999999999999994,0.7559999999999998,0.14000000000000007,0.5880000000000003,0.08000000000000002,0.3360000000000001,0.06,0.252,1.0,4.2
err_yaw,empirical_bernstein,none,0.03253622281064783,0.1207182700030742,0.13665213580472088,0.5070167340129116,1.0,4.2,1.0,4.2,0.9398633916119914,3.947426244770364,0.6638825267142636,2.788306612199907,0.22953857203910705,0.9640620025642497,0.0852338472542547,0.35798215846786974,0.032843164916182443,0.13794129264796626
err_yaw,hoeffding,none,0.08999182124215865,0.17138318732971958,0.3779656492170664,0.7198093867848224,1.0,4.2,0.858938816693475,3.6075430301125953,0.607361461908305,2.550918140014881,0.4959085570353964,2.0828159395486647,0.2716203031481239,1.1408052732221206,0.15682005513993702,0.6586442315877356,0.0905401010493746,0.38026842440737335
err_yaw,sequential_t_test,none,0.027410137740110585,0.05251837353826241,0.11512257850846447,0.2205771688607021,0.05021163573092102,0.2108888700698683,0.04852041658435574,0.20378574965429413,0.061576406404555695,0.2586209068991339,0.12444855844805874,0.5226839454818467,0.09949234749283986,0.41786785946992744,0.05220336554633409,0.2192541352946032,0.02754259141310955,0.11567888393506012
err_yaw,sim2real,Sim_10080,1.0,0.09541781009879256,4.2,0.4007548024149288,0.515,2.1630000000000003,0.280625,1.178625,0.15125000000000005,0.6352500000000002,0.11187500000000006,0.46987500000000026,0.057499999999999996,0.2415,0.02937500000000015,0.12337500000000064,0.020000000000000018,0.08400000000000007
err_yaw,sim2real,Sim_252,1.0,0.08477085620197583,4.2,0.35603759604829854,0.5675,2.3835,0.276875,1.1628749999999999,0.1512500000000001,0.6352500000000004,0.11187500000000006,0.46987500000000026,0.05437500000000006,0.22837500000000027,0.03125,0.13125,0.01937500000000003,0.08137500000000013
err_yaw,sim2real,Sim_35,1.0,0.1124478594950604,4.2,0.4722810098792535,0.52,2.184,0.3,1.26,0.17999999999999994,0.7559999999999998,0.14000000000000007,0.5880000000000003,0.06,0.252,0.06,0.252,1.0,4.2
err_yaw,sim2real,Sim_756,1.0,0.1696919593852909,4.2,0.7127062294182218,0.7675000000000001,3.2235000000000005,0.28374999999999995,1.1917499999999999,0.15437500000000004,0.6483750000000001,0.114375,0.48037500000000005,0.05500000000000005,0.2310000000000002,0.028750000000000053,0.12075000000000023,1.0,4.2
err_yaw,sim2real,Sim_7_biased,0.2,0.22649835345773878,0.8400000000000001,0.9512930845225027,0.94,3.948,0.54,2.2680000000000002,0.36,1.512,0.30000000000000004,1.2600000000000002,0.22000000000000003,0.9240000000000002,0.22000000000000003,0.9240000000000002,0.2,0.8400000000000001
err_yaw,t_test,none,0.009845644537930465,0.020906616510601835,0.041351707059307956,0.08780778934452772,0.0185171914939235,0.07777220427447872,0.020466472367441257,0.08595918394325329,0.026739916835839095,0.1123076507105242,0.05381580364322136,0.22602637530152972,0.040859222002287754,0.17160873240960858,0.020073104765285787,0.08430704001420031,0.009900434892412768,0.04158182654813363
err_yaw,vincent,gap_0.05,0.16542900347921918,0.2277859731685392,0.6948018146127206,0.9567010873078649,0.7788203082759859,3.271045294759141,0.6789898709837987,2.8517574581319547,0.5331567472758443,2.239258338558546,0.4698201312841266,1.9732445513933317,0.30805859238696065,1.2938460880252347,0.21871843823997816,0.9186174406079083,0.16565086383914207,0.6957336281243968
err_yaw,vincent,gap_0.1,0.24362466092212354,0.30252725135867936,1.023223575872919,1.2706144557064531,0.819960839146372,3.4438355244147623,0.7282119520458195,3.058490198592442,0.5890798948017276,2.474135558167256,0.5288855371899283,2.221319256197699,0.381264008773501,1.601308836848704,0.29381207149364885,1.2340107002733252,0.24379215652107977,1.023927057388535
err_yaw,vincent,gap_0.2,0.38750691751021593,0.4399033030797254,1.627529053542907,1.847593872934847,0.9000059696339848,3.7800250724627364,0.815040354399025,3.423169488475905,0.6941612481019561,2.915477242028216,0.6420714891828961,2.6967002545681638,0.5150788821449925,2.1633313050089686,0.4322843267323434,1.8155941722758424,0.38765149767572304,1.628136290238037
err_yaw,vincent,gap_0.3,0.515214841889521,0.561808937082835,2.1639023359359886,2.3595975357479073,0.9519135636993107,3.998036967537105,0.8897143458032151,3.7368002523735036,0.7882732033355792,3.3107474540094324,0.7422153913688933,3.117304643749352,0.6321519494339343,2.655038187622524,0.5559891691045958,2.3351545102393025,0.51541879917135,2.16475895651967
err_yaw,z_test,none,0.06493650382298966,0.12514498294455126,0.27273331605655654,0.5256089283671154,0.8765225405765815,3.6813946704216427,0.6197950323045616,2.6031391356791587,0.4382612702882907,1.8406973352108211,0.3578388287434314,1.502923080722412,0.19599639845400546,0.823184873506823,0.1131585734076172,0.4752660083119923,0.06533213281800182,0.27439495783560763
